Borough,OverseasTrips(thousands),DomesticStayTrips(thousands),DayTrips(thousands)
Barking and Dagenham,66,45,"1,029"
Barnet,303,171,"6,695"
Bexley,151,102,"2,237"
Brent,182,114,"2,711"
Bromley,243,143,"3,978"
Camden,"1,103",747,"11,616"
Croydon,303,194,"5,084"
Ealing,357,195,"5,824"
Enfield,253,175,"2,850"
Greenwich,145,96,"2,999"
Hackney,121,81,"1,864"
Hammersmith and Fulham,343,284,"6,911"
Haringey,140,82,"2,345"
Harrow,171,97,"1,993"
Havering,226,151,"3,041"
Hillingdon,610,370,"4,314"
Hounslow,208,111,"3,245"
Islington,269,208,"3,800"
Kensington and Chelsea,"1,846","1,103","12,863"
Kingston upon Thames,208,114,"3,335"
Lambeth,277,297,"6,428"
Lewisham,115,77,"1,701"
Merton,128,79,"3,650"
Newham,249,214,"2,286"
Redbridge,153,93,"2,183"
Richmond upon Thames,167,124,"2,609"
Southwark,304,254,"7,277"
Sutton,115,70,"1,904"
Tower Hamlets,330,348,"5,824"
Waltham Forest,110,68,"2,017"
Wandsworth,216,128,"4,185"
Westminster,"5,480","3,506","46,591"
City of London,449,295,"5,618"